index,Year,Partner,Trade Value (US$),Qty
1267,2013,United Kingdom,52394458929,94347606904.0
1179,2013,Kazakhstan,51654526236,23253440070.0
1176,2013,Italy,91795374315,47322645767.0
1170,2013,India,31396473661,7269476371.0
1156,2013,Germany,96951448776,66001633321.0
1153,2013,France,24604305231,16745441404.0
1152,2013,Finland,50358098747,45988546372.0
1143,2013,Egypt,10810312513,8397802692.0
1123,2013,China,150469047190,179998881351.0
1103,2013,Belgium,30905764986,15927751691.0
1102,2013,Belarus,50610683156,56207532214.0
1177,2013,Japan,81843527028,85491661443.0
1397,2014,Netherlands,276220153564,199377024239.0
1413,2014,Poland,65198002723,69347757014.0
1416,2014,Rep. of Korea,76070679253,96087111138.0
1441,2014,Switzerland,17461987163,3914978026.0
1373,2014,Latvia,51330563641,44994607075.0
1450,2014,USA,43760487582,35550321538.0
1452,2014,Ukraine,45384253080,49768058595.0
1454,2014,United Kingdom,32956466997,87735842411.0
1448,2014,Turkey,66794572063,94766618793.0
1368,2014,Kazakhstan,41586822472,15313483168.0
1291,2014,Belarus,49619523292,64234350382.0
1364,2014,Italy,89798099014,45592877758.0
1292,2014,Belgium,36903738847,19496762250.0
1312,2014,China,157402536327,184332246968.0
1332,2014,Egypt,17628686630,15721715229.0
1366,2014,Japan,82497825917,93575075135.0
1341,2014,France,20023076134,15385840916.0
1346,2014,Germany,105346766315,72580764307.0
1358,2014,India,21406660862,11608600169.0
1340,2014,Finland,43451709385,44994359453.0
1562,2015,Latvia,27889411627,42075170844.0
1645,2015,Ukraine,28652486972,44367361721.0
1643,2015,USA,38470653945,44794731022.0
1641,2015,Turkey,53523307879,102858560058.0
1633,2015,Switzerland,12469531672,6712601660.0
1608,2015,Rep. of Korea,56035410980,115238990452.0
1605,2015,Poland,40033870894,68040899999.0
1586,2015,Netherlands,169847585237,217758735432.0
1557,2015,Kazakhstan,30904817121,16311736007.0
1647,2015,United Kingdom,19832700194,66314385053.0
1553,2015,Italy,50916893777,47992742243.0
1478,2015,Belarus,37284929064,63808230880.0
1479,2015,Belgium,25392778704,20650957007.0
1501,2015,China,120116172706,176017274387.0
1520,2015,Egypt,14418910512,15483122868.0
1555,2015,Japan,60792113769,99916127993.0
1530,2015,France,12936635219,15631769533.0
1535,2015,Germany,68170721044,82486217219.0
1547,2015,India,22186466964,21028747135.0
1529,2015,Finland,27582655561,45318163770.0
1754,2016,Kazakhstan,32182548990,11474961618.0
1841,2016,Ukraine,26617069064,45137932829.0
1839,2016,USA,45057668921,53378129886.0
1837,2016,Turkey,60557958851,110256133501.0
1830,2016,Switzerland,14701295197,10104031822.0
1804,2016,Rep. of Korea,46663797396,129086488136.0
1801,2016,Poland,39530222152,72023159708.0
1784,2016,Netherlands,132239670455,225202092627.0
1759,2016,Latvia,23389984544,42941375583.0
1843,2016,United Kingdom,30158839945,47643900418.0
1752,2016,Japan,42411339579,98947748123.0
1744,2016,India,27784623990,25472441954.0
1729,2016,Germany,88984865157,91039595299.0
1724,2016,France,20746268049,22845967557.0
1723,2016,Finland,29068571240,47985988213.0
1715,2016,Egypt,16668921694,19829232348.0
1695,2016,China,126982625534,211976220140.0
1672,2016,Belgium,26475688202,23811895597.0
1671,2016,Belarus,44288582341,56219584558.0
1750,2016,Italy,38719392974,35182435372.0
1976,2017,Netherlands,158432804138,210169985054.0
1993,2017,Poland,49851702492,80164237828.0
1996,2017,Rep. of Korea,54767404950,121927088565.0
1953,2017,Latvia,22723091389,39574052381.0
2029,2017,Turkey,83574070114,122929993140.0
2031,2017,USA,53524722585,51886967554.0
2033,2017,Ukraine,38858931114,68058211346.0
2035,2017,United Kingdom,38588071640,51214433364.0
1948,2017,Kazakhstan,50740483548,25592068987.0
2022,2017,Switzerland,18949261919,10632577658.0
1944,2017,Italy,44067945628,30500022828.0
1867,2017,Belarus,61051277418,62325041646.0
1868,2017,Belgium,31433245319,24811249879.0
1891,2017,China,176366511075,243459186675.0
1910,2017,Egypt,27012153545,24691606045.0
1946,2017,Japan,47536799583,93127387682.0
1920,2017,France,24955396751,23055853212.0
1924,2017,Germany,108260819821,95598704339.0
1938,2017,India,32647664083,29670945591.0
1919,2017,Finland,38960468903,50537644231.0
2145,2018,Latvia,20965078769,34564640981.0
2227,2018,United Kingdom,41589068840,43665838434.0
2225,2018,Ukraine,43719245823,82003487659.0
2223,2018,USA,56849284587,48886150730.0
2221,2018,Turkey,92436322733,116414261031.0
2213,2018,Switzerland,22778097488,13814280240.0
2187,2018,Rep. of Korea,75643693705,138688780973.0
2184,2018,Poland,69795299187,97069245205.0
2168,2018,Netherlands,180613884404,190478492985.0
2140,2018,Kazakhstan,47612131809,28616226352.0
2138,2018,Japan,53750863317,90526071421.0
2136,2018,Italy,51825822429,30648752485.0
2130,2018,India,35576318039,26754517802.0
2117,2018,Germany,141746026830,108667549898.0
2112,2018,France,31961587973,22080383879.0
2111,2018,Finland,49251642363,51797710182.0
2100,2018,Egypt,30018415834,29997201431.0
2082,2018,China,233849259740,263228125792.0
2061,2018,Belgium,36845634050,24114398040.0
2060,2018,Belarus,68381854183,66685848969.0
2362,2019,Netherlands,186833113566,209428607929.0
2378,2019,Poland,54060234963,80520937389.0
2381,2019,Rep. of Korea,69462937972,133147009771.0
2423,2019,United Kingdom,60382796667,24626251818.0
2421,2019,Ukraine,30718622764,47714833022.0
2417,2019,Turkey,90873320568,112750465480.0
2419,2019,USA,58199386600,57499738153.0
2338,2019,Latvia,22217733420,37007101754.0
2409,2019,Switzerland,17756019043,15378956088.0
2333,2019,Kazakhstan,52933874462,29166487146.0
2301,2019,Finland,43351848932,54228569245.0
2329,2019,Italy,45650036621,31920866443.0
2323,2019,India,33440804091,38416829528.0
2308,2019,Germany,116995161586,119595787389.0
2303,2019,France,26618673172,24372142489.0
2293,2019,Egypt,24398886073,19635462095.0
2274,2019,China,241070548351,303901309555.0
2252,2019,Belgium,27122637091,23636015860.0
2251,2019,Belarus,65177656796,64855439877.0
2331,2019,Japan,49388378002,90772651399.0
2533,2020,Latvia,14189145120,24951531604.0
2556,2020,Netherlands,105197741920,155432435402.0
2573,2020,Poland,40909235546,80047248898.0
2610,2020,USA,48358953036,57203814593.0
2601,2020,Switzerland,13922010457,7024738932.0
2608,2020,Turkey,70671180557,123191583313.0
2528,2020,Kazakhstan,52271164610,30143754874.0
2576,2020,Rep. of Korea,53371977456,127573305395.0
2526,2020,Japan,39927321829,93578841935.0
2499,2020,France,19626003263,27957436892.0
